Loan #,Loan Type,Asset,Balance,Rate,startDate,endDate,Asset Value
32,Car,Civic,17215.71712,0.165709977,01/10/21,01/06/27,13754.08369
33,Car,Civic,19106.46831,0.130254879,01/10/21,01/01/27,14252.89056
34,Car,AlfaRomeo,20007.86772,0.190101039,01/10/21,01/01/26,15692.02884
35,Car,Lamborghini,24713.65233,0.149995369,01/10/21,01/04/27,19934.77058
36,Car,Civic,21685.54835,0.17762361,01/10/21,01/07/26,17908.41464
37,Car,AlfaRomeo,23172.80524,0.167030801,01/10/21,01/09/27,20008.7311
38,Car,Civic,17126.21807,0.168574948,01/10/21,01/12/26,14318.65572
39,Car,AlfaRomeo,21559.01519,0.199922023,01/10/21,01/04/27,17556.80552
40,Car,AlfaRomeo,25733.5209,0.169211355,01/10/21,01/06/27,23715.32166
41,Car,Mercedes,16598.92322,0.160945351,01/10/21,01/06/27,12340.77521
42,Car,Lamborghini,10325.02335,0.167862232,01/10/21,01/09/27,8589.899153
43,Car,Civic,18633.04728,0.173517054,01/10/21,01/07/27,15814.59342
44,Car,Mercedes,24358.92145,0.192326773,01/10/21,01/02/27,21420.75522
45,Car,AlfaRomeo,19240.95682,0.162101489,01/10/21,01/12/26,14955.00966
46,Car,Lamborghini,16008.9382,0.130254879,01/10/21,01/02/27,14187.23473
47,Car,Civic,24899.11551,0.166788997,01/10/21,01/02/26,21974.00747
48,Car,Mercedes,20823.07486,0.199922023,01/10/21,01/05/26,18283.84333
49,Car,Civic,16846.09445,0.174919995,01/10/21,01/04/26,13205.07531
50,Car,Mercedes,17571.38384,0.153637156,01/10/21,01/02/27,14909.71454
51,Car,AlfaRomeo,15701.71478,0.164695099,01/10/21,01/06/27,12870.50201
52,Car,AlfaRomeo,14526.82171,0.170162081,01/10/21,01/08/27,11960.85386
53,Car,Civic,20954.66294,0.191219498,01/10/21,01/12/26,18424.84176
54,Car,Civic,21213.36636,0.155690158,01/10/21,01/08/26,18080.31299
55,Car,Civic,23245.33456,0.130254879,01/10/21,01/12/26,18481.76325
56,Car,Mercedes,15605.4294,0.133983317,01/10/21,01/07/26,12836.53456
57,Car,Civic,18829.7972,0.173777422,01/10/21,01/02/27,16372.37103
58,Car,Mercedes,9650.883347,0.130254879,01/10/21,01/12/25,9054.73259
59,Car,Civic,21498.26743,0.162595657,01/10/21,01/02/27,17475.87143
60,Car,Mercedes,19839.9619,0.199922023,01/10/21,01/10/26,17386.63027
61,Car,AlfaRomeo,24486.51619,0.157684784,01/10/21,01/08/26,20555.08702
62,Car,Civic,10927.91831,0.165104678,01/10/21,01/02/26,8976.128869
63,Car,Lamborghini,18207.93335,0.168357898,01/10/21,01/04/26,15755.60488
64,Car,AlfaRomeo,11004.15889,0.154354635,01/10/21,01/09/27,10048.66992
65,Car,Lamborghini,16510.53482,0.141882421,01/10/21,01/12/26,12767.72391
66,Car,Mercedes,19020.26675,0.199922023,01/10/21,01/07/26,16059.0846
67,Car,Civic,16014.44578,0.163629917,01/10/21,01/01/27,13044.74958
68,Car,Civic,14044.88664,0.17208739,01/10/21,01/09/27,12021.20518
69,Car,Lamborghini,18300.46783,0.18027195,01/10/21,01/05/26,14346.44646
70,Car,Civic,15542.9004,0.157733957,01/10/21,01/03/26,11713.51223
71,Car,Lamborghini,17152.32876,0.199922023,01/10/21,01/08/26,14688.50823
72,Car,Mercedes,25421.89171,0.184346282,01/10/21,01/05/26,22667.16835
73,Car,Civic,23827.30951,0.130254879,01/10/21,01/04/27,19912.62675
74,Car,Civic,8152.682614,0.169083814,01/10/21,01/07/27,5741.45586
75,Car,Mercedes,16720.3154,0.137318999,01/10/21,01/09/27,13274.83618
76,Car,Lamborghini,17676.02059,0.177884351,01/10/21,01/02/27,14108.95165
77,Car,Civic,18562.3876,0.158965649,01/10/21,01/12/25,14985.5541
78,Car,Civic,20128.42498,0.156507995,01/10/21,01/07/27,17707.98945
79,Car,Civic,18761.55174,0.185561186,01/10/21,01/03/27,14573.95286
80,Car,Civic,24963.92155,0.145701368,01/10/21,01/11/26,20608.43056
81,Car,Lamborghini,27730.8573,0.17608116,01/10/21,01/03/26,22876.94106
82,Car,Lamborghini,19132.33293,0.159961325,01/10/21,01/09/26,14819.60126
83,Car,Mercedes,8293.544038,0.169008223,01/10/21,01/10/26,6786.188116
84,Car,Civic,15632.30165,0.152256581,01/10/21,01/07/26,12857.91064
85,Car,AlfaRomeo,18222.39492,0.170794905,01/10/21,01/04/26,15830.23827
86,Car,Civic,20521.19932,0.199922023,01/10/21,01/01/27,16645.42737
87,Car,AlfaRomeo,12784.55368,0.170620678,01/10/21,01/07/26,10355.33491
88,Car,AlfaRomeo,18830.69336,0.156736795,01/10/21,01/03/26,16101.4731
89,Car,Civic,13252.96455,0.179893499,01/10/21,01/09/26,10735.278
90,Car,Civic,21211.0769,0.185547737,01/10/21,01/11/26,18980.20862
91,Car,Civic,16316.9782,0.177264177,01/10/21,01/06/26,14736.15373
92,Car,Mercedes,20580.02385,0.185415167,01/10/21,01/10/26,16649.51524
93,Car,Civic,17957.01893,0.172632785,01/10/21,01/09/26,15406.74044
94,Car,AlfaRomeo,25064.89244,0.157689187,01/10/21,01/09/27,22576.50632
95,Car,Civic,24871.30259,0.170685855,01/10/21,01/05/26,20261.95231
96,Car,Civic,11481.41718,0.182644139,01/10/21,01/12/26,9487.989659
97,Car,Civic,18830.41073,0.167939287,01/10/21,01/03/26,14429.92687
98,Car,Lamborghini,20563.54925,0.184129452,01/10/21,01/10/26,16084.01481
99,Car,Lamborghini,16445.55436,0.186764693,01/10/21,01/06/27,13096.13439
100,Car,Civic,20674.04218,0.195611622,01/10/21,01/04/27,16101.21395
101,Car,Civic,14545.29343,0.156866722,01/10/21,01/09/26,11415.70724
102,Car,Civic,14414.56871,0.17987223,01/10/21,01/07/26,12198.8399
103,Car,Civic,14646.72586,0.161221652,01/10/21,01/02/26,12569.95686
104,Car,AlfaRomeo,20617.06959,0.130254879,01/10/21,01/07/26,16504.26504
105,Car,Lamborghini,19796.76229,0.193168573,01/10/21,01/05/26,15254.34192
106,Car,AlfaRomeo,20462.40921,0.140613336,01/10/21,01/09/27,18058.4591
107,Car,Lamborghini,23384.12324,0.131986878,01/10/21,01/02/27,18040.43249
108,Car,Lamborghini,17060.60455,0.181074305,01/10/21,01/01/27,13471.90945
109,Car,Civic,23847.93529,0.168483744,01/10/21,01/06/27,18764.95676
110,Car,Civic,17632.03841,0.1459395,01/10/21,01/01/27,15650.21464
111,Car,Civic,16973.94418,0.130254879,01/10/21,01/03/27,14302.34434
112,Car,Mercedes,17484.14211,0.156214537,01/10/21,01/07/27,13512.17199
113,Car,Civic,17862.45913,0.181942055,01/10/21,01/11/26,14849.02637
114,Car,AlfaRomeo,13353.215,0.177651318,01/10/21,01/08/26,11634.46719
115,Car,Lamborghini,25166.12929,0.161633274,01/10/21,01/05/27,19045.53113
116,Car,AlfaRomeo,27624.37994,0.179606462,01/10/21,01/10/26,24222.21546
117,Car,Lamborghini,21072.38597,0.18104723,01/10/21,01/07/26,16974.90084
118,Car,Lamborghini,25122.53584,0.199922023,01/10/21,01/02/27,21163.71568
119,Car,Lamborghini,16500.8578,0.184765976,01/10/21,01/09/26,13769.37752
120,Car,Civic,26789.13044,0.186488245,01/10/21,01/09/26,23458.7188
121,Car,Lamborghini,17552.58858,0.162486156,01/10/21,01/02/27,14038.57041
122,Car,Civic,21701.71354,0.173110062,01/10/21,01/03/26,18040.15667
123,Car,Mercedes,17060.77238,0.134333755,01/10/21,01/08/26,14252.45359
124,Car,Civic,26332.5483,0.14742895,01/10/21,01/11/26,22482.37849
125,Car,Mercedes,19618.97467,0.174646382,01/10/21,01/12/25,15222.06258
126,Car,Civic,27233.17855,0.153126298,01/10/21,01/06/27,22606.24594
127,Car,Civic,16295.34183,0.189120635,01/10/21,01/07/26,13505.09024
128,Car,Civic,17535.37581,0.132029589,01/10/21,01/03/26,13969.98764
129,Car,Civic,26096.9691,0.154251852,01/10/21,01/02/27,21523.60777
130,Car,Civic,14507.97199,0.178355624,01/10/21,01/04/26,11260.98446
131,Car,AlfaRomeo,24809.30986,0.16652859,01/10/21,01/05/26,19299.37425
132,Car,Civic,14622.90857,0.19278056,01/10/21,01/08/26,11280.18891
133,Car,Civic,15332.85018,0.162747504,01/10/21,01/12/26,13031.6766
134,Car,AlfaRomeo,18955.82934,0.158354732,01/10/21,01/01/27,15131.44325
135,Car,Civic,17911.91758,0.175079467,01/10/21,01/04/26,14707.13204
136,Car,AlfaRomeo,16718.07265,0.181429946,01/10/21,01/12/25,15950.88839
137,Car,Lamborghini,22892.76714,0.193080449,01/10/21,01/07/26,18775.48882
138,Car,Mercedes,14557.35487,0.193011029,01/10/21,01/05/26,11132.29086
139,Car,Lamborghini,28364.11112,0.132662659,01/10/21,01/02/26,23806.9887
140,Car,Mercedes,22552.01047,0.17448885,01/10/21,01/12/25,19286.00255
141,Car,Civic,14648.80219,0.197186558,01/10/21,01/04/26,12223.49481
142,Car,Lamborghini,12340.03651,0.156455143,01/10/21,01/09/27,10178.33988
143,Car,AlfaRomeo,15753.51297,0.199922023,01/10/21,01/09/27,14580.41847
144,Car,Mercedes,15762.57303,0.191009182,01/10/21,01/04/26,12943.63557
145,Car,Lamborghini,21432.29885,0.175625562,01/10/21,01/03/26,17804.03866
146,Car,Lamborghini,13652.15831,0.139186394,01/10/21,01/01/26,10650.32768
147,Car,Civic,12104.75065,0.180859905,01/10/21,01/07/26,10424.67433
148,Car,AlfaRomeo,19265.49803,0.188317838,01/10/21,01/10/26,16457.28394
149,Car,Lamborghini,17406.49894,0.199922023,01/10/21,01/06/26,14942.8127
150,Car,Civic,15572.20053,0.181888928,01/10/21,01/04/27,11530.20768
151,Car,Mercedes,15658.339,0.146370529,01/10/21,01/12/26,12762.18385
152,Car,Civic,8904.175578,0.148522824,01/10/21,01/03/26,7731.4283
153,Car,Civic,21434.46929,0.162763429,01/10/21,01/02/27,17209.3365
154,Car,Civic,22260.04802,0.157631602,01/10/21,01/04/27,19294.89824
155,Car,AlfaRomeo,18431.6796,0.147346742,01/10/21,01/06/26,14797.8938
156,Car,AlfaRomeo,13424.22387,0.154699672,01/10/21,01/04/26,9419.747858
157,Car,AlfaRomeo,20574.05277,0.199648644,01/10/21,01/03/27,16907.22544
158,Car,Civic,23493.76009,0.192097526,01/10/21,01/07/26,18375.52728
159,Car,Civic,18268.51102,0.185137742,01/10/21,01/01/27,14724.20175
160,Car,Civic,24298.17064,0.148283455,01/10/21,01/10/26,20412.57361
161,Car,Lamborghini,12777.51109,0.182221449,01/10/21,01/10/26,9271.619458
162,Car,AlfaRomeo,21330.4102,0.186027932,01/10/21,01/01/26,16151.33016
163,Car,Mercedes,24860.00245,0.163246128,01/10/21,01/09/27,19911.52673
164,Car,Lamborghini,15006.02092,0.138936289,01/10/21,01/01/27,11762.69908
165,Car,Mercedes,15511.1768,0.14254731,01/10/21,01/05/27,11690.5718
166,Car,Civic,14728.66068,0.199922023,01/10/21,01/07/26,11855.62451
167,Car,Lamborghini,15710.59658,0.176782073,01/10/21,01/05/27,12814.60302
168,Car,Lamborghini,20768.73754,0.168383792,01/10/21,01/12/25,18121.00042
169,Car,AlfaRomeo,15759.28784,0.198633627,01/10/21,01/01/26,14574.20062
170,Car,Civic,24210.15653,0.176395055,01/10/21,01/10/26,18403.75737
171,Car,Civic,20662.9501,0.154696408,01/10/21,01/12/26,16956.83022
172,Car,Lamborghini,17887.39258,0.162571263,01/10/21,01/05/27,15141.47888
173,Car,Mercedes,22525.67879,0.166697199,01/10/21,01/07/26,18885.00122
174,Car,AlfaRomeo,30262.79201,0.15757532,01/10/21,01/09/26,25517.42531
175,Car,Mercedes,14336.2887,0.151173481,01/10/21,01/06/27,12045.64593
176,Car,Civic,24321.9814,0.156474292,01/10/21,01/06/27,20028.43594
177,Car,Lamborghini,18055.75101,0.178982656,01/10/21,01/12/26,15795.74377
178,Car,Civic,23014.1851,0.170707207,01/10/21,01/06/26,19076.8165
179,Car,Civic,7978.891844,0.165509971,01/10/21,01/06/27,6206.667151
180,Car,Civic,23872.7857,0.199218617,01/10/21,01/06/27,19070.30436
181,Car,AlfaRomeo,13509.77445,0.149844501,01/10/21,01/09/27,11182.72365
182,Car,Civic,16637.47879,0.1705489,01/10/21,01/08/26,14415.32001
183,Car,Civic,17770.9242,0.180298171,01/10/21,01/09/27,13435.563
184,Car,Civic,21196.68961,0.147774959,01/10/21,01/03/26,18363.40604
185,Car,Civic,17489.55001,0.192551975,01/10/21,01/09/27,14653.71356
186,Car,Lamborghini,22388.92299,0.199922023,01/10/21,01/04/26,18941.4377
187,Car,Civic,11479.32914,0.178303742,01/10/21,01/10/26,8658.337826
188,Car,Lamborghini,23206.98828,0.174197233,01/10/21,01/06/26,19437.5856
189,Car,Lamborghini,17532.30428,0.162361289,01/10/21,01/01/26,14476.51048
190,Car,AlfaRomeo,25097.32992,0.171091061,01/10/21,01/02/26,21914.37533
191,Car,Civic,17912.24549,0.160190112,01/10/21,01/06/26,14422.61793
192,Car,Mercedes,15601.79606,0.185468667,01/10/21,01/11/26,13450.74469
193,Car,Civic,18081.0678,0.140646778,01/10/21,01/08/26,15301.39286
194,Car,Lamborghini,27788.55849,0.199221832,01/10/21,01/07/26,23401.75275
195,Car,Civic,16180.95049,0.164157215,01/10/21,01/02/26,13614.66622
196,Car,Civic,24930.91877,0.153137277,01/10/21,01/07/27,20920.45475
197,Car,Civic,21193.4834,0.175863754,01/10/21,01/01/27,18043.22919
198,Car,Civic,9448.091119,0.149722521,01/10/21,01/04/27,7395.397955
199,Car,Mercedes,11821.72282,0.168424239,01/10/21,01/04/27,11301.80658
200,Car,Mercedes,19350.91603,0.15217085,01/10/21,01/06/27,16583.12705
201,Car,Civic,15228.76797,0.188807496,01/10/21,01/09/26,12728.63427
202,Car,Civic,20909.83694,0.189528733,01/10/21,01/11/26,18570.38729
203,Car,Lamborghini,22731.16913,0.17023148,01/10/21,01/12/26,19695.16926
204,Car,AlfaRomeo,11652.54611,0.155577746,01/10/21,01/06/27,10607.74674
205,Car,Civic,17280.61725,0.164427482,01/10/21,01/02/27,14498.88692
206,Car,Civic,18008.47044,0.191418401,01/10/21,01/11/26,13832.21555
207,Car,Lamborghini,12545.23482,0.170295625,01/10/21,01/02/26,9039.804376
208,Car,Lamborghini,20503.81113,0.170798004,01/10/21,01/06/27,17476.02985
209,Car,Civic,16452.8775,0.162356456,01/10/21,01/12/25,13795.68914
210,Car,Mercedes,15179.71425,0.199922023,01/10/21,01/11/26,13005.18452
211,Car,Mercedes,23140.51602,0.195536015,01/10/21,01/02/26,19934.03527
212,Car,Civic,14456.01534,0.169899521,01/10/21,01/07/26,12947.03987
213,Car,Civic,20111.52917,0.17304793,01/10/21,01/08/27,15651.66147
214,Car,AlfaRomeo,32190.19386,0.171726644,01/10/21,01/09/26,28012.8488
215,Car,Civic,19764.69989,0.193883037,01/10/21,01/08/26,15485.91005
216,Car,Civic,17896.47338,0.146246509,01/10/21,01/04/27,15254.4419
217,Car,Civic,25964.92605,0.184551818,01/10/21,01/09/27,21672.07686
218,Car,Civic,18527.82133,0.141266065,01/10/21,01/08/26,14431.50253
219,Car,Mercedes,21030.11938,0.138657063,01/10/21,01/02/27,16981.73131
220,Car,Civic,16375.17799,0.164176476,01/10/21,01/10/26,11909.49805
221,Car,AlfaRomeo,20703.80963,0.192776415,01/10/21,01/11/26,15913.70039
222,Car,Mercedes,13349.2224,0.176405377,01/10/21,01/12/26,11840.27698
223,Car,Civic,28355.86192,0.171446427,01/10/21,01/06/26,23454.91734
224,Car,Lamborghini,19544.37616,0.149503007,01/10/21,01/01/27,15500.05502
225,Car,Civic,17570.51689,0.190704325,01/10/21,01/12/25,13904.07542
226,Car,AlfaRomeo,15327.83985,0.151767322,01/10/21,01/09/26,11861.97297
227,Car,Lamborghini,17916.44402,0.17795547,01/10/21,01/12/26,13932.15174
228,Car,Mercedes,20372.80503,0.183535129,01/10/21,01/04/26,17411.15939
229,Car,Civic,29514.19373,0.158908795,01/10/21,01/09/27,23498.54467
230,Car,AlfaRomeo,14328.60377,0.16647345,01/10/21,01/01/27,12343.60369
231,Car,Lamborghini,21070.37395,0.15244683,01/10/21,01/06/26,17814.98773
232,Car,Civic,17832.69423,0.156525332,01/10/21,01/01/27,14539.15037
233,Car,AlfaRomeo,12824.91728,0.167606736,01/10/21,01/02/26,10609.08591
234,Car,Civic,27007.96658,0.189836057,01/10/21,01/06/26,22338.19485
235,Car,Civic,21408.43863,0.175905757,01/10/21,01/01/27,16769.86171
236,Car,AlfaRomeo,24474.98704,0.158503197,01/10/21,01/12/26,20640.85333
237,Car,Lamborghini,4230.083914,0.172696049,01/10/21,01/06/26,2922.604498
238,Car,Lamborghini,28759.46288,0.198028711,01/10/21,01/12/25,23687.19856
239,Car,Lamborghini,22491.86437,0.167376077,01/10/21,01/06/26,18173.27625
240,Car,AlfaRomeo,12258.54696,0.173643357,01/10/21,01/12/25,10065.00494
241,Car,Mercedes,12482.16135,0.184312753,01/10/21,01/09/27,10830.15261
242,Car,Civic,15418.82233,0.1432433,01/10/21,01/04/26,12273.07233
243,Car,Civic,20110.31172,0.137620858,01/10/21,01/01/27,16487.26756
244,Car,Mercedes,22330.56682,0.175082868,01/10/21,01/10/26,17380.36517
245,Car,Civic,25244.39106,0.143154243,01/10/21,01/09/26,21140.00998
246,Car,Civic,17655.80193,0.130254879,01/10/21,01/06/26,14509.44982
247,Car,Civic,20576.6401,0.144862449,01/10/21,01/03/26,17380.93184
248,Car,Mercedes,19270.61722,0.190367904,01/10/21,01/03/26,16889.29588
249,Car,Lamborghini,22956.13131,0.132871487,01/10/21,01/09/27,18971.35616
250,Car,Civic,22114.35147,0.158877243,01/10/21,01/06/27,17922.60351
251,Car,Lamborghini,18632.65281,0.158720368,01/10/21,01/08/26,14409.78548
252,Car,Mercedes,14354.29527,0.153019478,01/10/21,01/04/26,11392.87342
253,Car,AlfaRomeo,12299.93531,0.147987716,01/10/21,01/11/26,10150.37567
254,Car,AlfaRomeo,10632.53106,0.162796573,01/10/21,01/10/26,10674.82522
255,Car,Mercedes,11311.55136,0.188006229,01/10/21,01/10/26,9608.711748
256,Car,Mercedes,16489.61797,0.172700021,01/10/21,01/04/26,12892.22344
257,Car,Civic,13417.08573,0.191171776,01/10/21,01/01/27,11736.55148
258,Car,Lamborghini,19834.61736,0.199922023,01/10/21,01/03/27,16199.84352
259,Car,Civic,20441.12052,0.17341321,01/10/21,01/11/26,18349.09516
260,Car,Mercedes,19656.69561,0.169019505,01/10/21,01/01/27,14875.84851
261,Car,Civic,21764.2926,0.174967962,01/10/21,01/04/26,18739.1074
262,Car,Civic,10718.57007,0.132107918,01/10/21,01/01/26,8138.481879
263,Car,AlfaRomeo,24842.64016,0.16856919,01/10/21,01/03/27,18874.11921
264,Car,Mercedes,19524.29126,0.186480507,01/10/21,01/12/26,16702.58911
265,Car,AlfaRomeo,23059.43166,0.176034399,01/10/21,01/04/27,18692.96583
266,Car,Civic,20110.55173,0.165685075,01/10/21,01/08/27,16281.42396
267,Car,Civic,12698.90754,0.164783991,01/10/21,01/06/27,12277.49989
268,Car,Lamborghini,5689.114135,0.150489008,01/10/21,01/04/26,5148.075039
269,Car,AlfaRomeo,20730.86105,0.193578408,01/10/21,01/05/27,17198.37017
270,Car,AlfaRomeo,19014.49876,0.199922023,01/10/21,01/09/27,15866.52639
271,Car,AlfaRomeo,28256.31854,0.195457227,01/10/21,01/03/27,23871.65327
272,Car,Lamborghini,18602.31968,0.162231928,01/10/21,01/09/27,15203.9321
273,Car,AlfaRomeo,14970.21374,0.15668958,01/10/21,01/07/26,11873.76735
274,Car,Mercedes,21468.21424,0.176879306,01/10/21,01/03/27,19225.70295
275,Car,Civic,17142.63743,0.185243271,01/10/21,01/11/26,16495.76049
276,Car,Civic,23242.35069,0.148312526,01/10/21,01/01/27,19176.58702
277,Car,Civic,16668.44098,0.198646747,01/10/21,01/11/26,13364.58539
278,Car,Lamborghini,15159.15992,0.151569054,01/10/21,01/04/26,11778.84431
279,Car,Mercedes,22601.80882,0.178198647,01/10/21,01/05/27,18991.95647
280,Car,Civic,17598.75175,0.184448189,01/10/21,01/02/26,15221.20108
281,Car,Mercedes,22345.09022,0.173511387,01/10/21,01/02/26,18130.73318
282,Car,Civic,14401.14671,0.188711377,01/10/21,01/03/26,11029.43802
283,Car,Lamborghini,19128.04818,0.130254879,01/10/21,01/02/27,14748.47387
284,Car,Civic,22197.26302,0.172664146,01/10/21,01/09/26,17254.89678
285,Car,AlfaRomeo,24002.76131,0.185682838,01/10/21,01/09/27,20090.03493
286,Car,Mercedes,13845.26161,0.15494546,01/10/21,01/10/26,10211.06532
287,Car,AlfaRomeo,23519.32211,0.196499407,01/10/21,01/10/26,21188.31179
288,Car,Mercedes,19557.63853,0.168864278,01/10/21,01/01/26,15836.45763
289,Car,AlfaRomeo,16701.98712,0.152472589,01/10/21,01/09/26,13811.28053
290,Car,Lamborghini,8235.843536,0.199922023,01/10/21,01/06/27,7189.477524
291,Car,Civic,18769.67078,0.198471356,01/10/21,01/08/26,15007.51025
292,Car,Civic,20531.66219,0.179198866,01/10/21,01/10/26,16685.0203
293,Car,Civic,23558.83976,0.153201347,01/10/21,01/04/27,19643.5918
294,Car,Civic,19095.51964,0.199922023,01/10/21,01/03/26,16858.33249
295,Car,AlfaRomeo,20990.41918,0.188828621,01/10/21,01/03/27,17186.42579
296,Car,Civic,12822.1347,0.168311962,01/10/21,01/10/26,10774.11662
297,Car,Civic,21005.00602,0.144492967,01/10/21,01/07/26,17430.00307
298,Car,Mercedes,16872.11079,0.162007241,01/10/21,01/02/27,14970.95218
299,Car,Mercedes,20497.89707,0.173352168,01/10/21,01/04/26,17660.99735
300,Car,Civic,14722.42778,0.167703392,01/10/21,01/06/26,13310.72549
301,Car,Civic,28002.40532,0.181745816,01/10/21,01/03/26,24314.2112
302,Car,Lamborghini,11646.12516,0.167093399,01/10/21,01/08/26,8896.208309
303,Car,Civic,18619.53583,0.162899706,01/10/21,01/04/27,15278.04355
304,Car,Mercedes,19139.10421,0.181738787,01/10/21,01/01/26,15070.57333
305,Car,Civic,17059.62717,0.171401398,01/10/21,01/03/26,13467.64861
306,Car,Civic,13554.25978,0.199337614,01/10/21,01/08/26,10544.12598
307,Car,Mercedes,24300.03752,0.171782826,01/10/21,01/10/26,19890.52646
308,Car,Mercedes,28384.29895,0.188817642,01/10/21,01/11/26,23438.72873
309,Car,Civic,28871.40397,0.152173664,01/10/21,01/05/26,24751.54889
310,Car,AlfaRomeo,23302.90926,0.150051006,01/10/21,01/09/26,19690.30242
311,Car,Lamborghini,19686.69597,0.146861648,01/10/21,01/07/27,18188.06254
312,Car,AlfaRomeo,9632.298593,0.187563852,01/10/21,01/09/26,7393.397242
313,Car,Lamborghini,15259.14083,0.198716274,01/10/21,01/01/27,12637.67203
314,Car,Civic,13960.44852,0.145307514,01/10/21,01/10/26,11870.97113
315,Car,Mercedes,18683.0646,0.132068648,01/10/21,01/12/25,15297.21388
316,Car,Lamborghini,18048.51653,0.167425461,01/10/21,01/09/27,15391.41238
317,Car,Civic,16144.3536,0.138860134,01/10/21,01/12/26,13298.34648
318,Car,AlfaRomeo,21166.32201,0.17474366,01/10/21,01/05/26,16783.82555
319,Car,Lamborghini,15880.59569,0.14258998,01/10/21,01/10/26,11911.08152
320,Car,Civic,17160.01812,0.145179891,01/10/21,01/02/26,13255.67154
321,Car,Civic,28682.79437,0.157477225,01/10/21,01/12/25,23582.89542
322,Car,Lamborghini,14838.29006,0.174260472,01/10/21,01/03/27,12703.72801
323,Car,Mercedes,17202.37571,0.199922023,01/10/21,01/06/27,14769.19091
324,Car,AlfaRomeo,19894.09284,0.132822624,01/10/21,01/01/27,16682.95167
325,Car,AlfaRomeo,22412.05036,0.177678869,01/10/21,01/05/26,17605.81299
326,Car,Lamborghini,19691.51022,0.155513955,01/10/21,01/02/27,15856.34737
327,Car,AlfaRomeo,14539.61463,0.158026247,01/10/21,01/09/27,12364.22951
328,Car,AlfaRomeo,15936.51487,0.16926169,01/10/21,01/07/26,13256.87851
329,Car,Mercedes,22494.08616,0.148992641,01/10/21,01/09/27,18945.08697
330,Car,Civic,23404.82004,0.161974085,01/10/21,01/11/26,20059.01358
331,Car,Mercedes,23316.46313,0.176857911,01/10/21,01/06/26,19046.23515
332,Car,Civic,24409.046,0.177878117,01/10/21,01/09/27,20640.64163
333,Car,Lamborghini,14015.70123,0.147086981,01/10/21,01/02/26,11294.26083
334,Car,Civic,27687.18067,0.164600061,01/10/21,01/07/26,25018.96048
335,Car,AlfaRomeo,5459.871427,0.159883157,01/10/21,01/07/27,4940.371389
336,Car,Mercedes,13519.49505,0.131204183,01/10/21,01/12/26,10730.04425
337,Car,Civic,12979.20091,0.166695096,01/10/21,01/11/26,10798.87446
338,Car,Lamborghini,20771.58187,0.154811863,01/10/21,01/08/26,17025.32926
339,Car,AlfaRomeo,18055.37213,0.154023072,01/10/21,01/03/26,14865.33554
340,Car,Civic,14881.3681,0.159312087,01/10/21,01/10/26,11397.05233
